region_id,image_id,tile_id,area,foci_count_rad51,foci_count_probs,foci_fraction_rad51,foci_fraction_probs
7,A1,tile_03,786.0,4,1,0.015987748873230498,0.003996937329532536
8,A1,tile_03,1157.0,6,3,0.01629175101256591,0.005430583821975062
9,A1,tile_03,1152.0,7,2,0.019089538693687978,0.005454154064257939
10,A1,tile_03,1155.0,11,11,0.04412434126254062,0.0299199290089793
11,A1,tile_03,2017.0,6,0,0.009345342549102012,0.0
12,A1,tile_03,317.0,0,0,0.0,0.0
13,A1,tile_03,1439.0,17,7,0.05457944151476362,0.015282243220983403
14,A1,tile_03,1609.0,15,9,0.03514522545967451,0.01757261158888054
15,A1,tile_03,1267.0,6,5,0.01873439449654529,0.009918209127111518
16,A1,tile_03,1389.0,9,6,0.020355891923907948,0.011308829332960004
17,A1,tile_03,1388.0,10,7,0.02967562705120041,0.015843766566999363
18,A1,tile_03,1139.0,6,4,0.01654921503207968,0.002758202582100591
19,A1,tile_03,1353.0,11,9,0.03508718082353715,0.01625362009977466
20,A1,tile_03,1484.0,6,1,0.012701857089985686,0.0
21,A1,tile_03,1224.0,8,7,0.033936957677667516,0.010266642944485533
22,A1,tile_03,865.0,1,0,0.0036318990214910902,0.0
23,A1,tile_03,1027.0,1,1,0.0030589996626969747,0.0
24,A1,tile_03,1820.0,5,3,0.008630749048323607,0.003452299715398432
25,A1,tile_03,111.0,1,0,0.05031579825569238,0.0
26,A1,tile_03,1050.0,4,3,0.011967972013675403,0.0029919930866786413
27,A1,tile_03,873.0,2,0,0.007197234028842596,0.0
28,A1,tile_03,1205.0,4,2,0.01245629175697198,0.0
29,A1,tile_03,1064.0,4,0,0.01181049869770599,0.0
30,A1,tile_03,1086.0,4,0,0.011571243659630914,0.0
31,A1,tile_03,1588.0,4,2,0.007913331621132981,0.0019783329603353735
32,A1,tile_03,1118.0,0,1,0.0,0.0
33,A1,tile_03,1090.0,0,0,0.0,0.0
34,A1,tile_03,823.0,1,0,0.006786213373489495,0.0
35,A1,tile_03,1424.0,7,7,0.015443222313994769,0.013237047731206658
36,A1,tile_03,1146.0,7,4,0.019189483922450744,0.008224064559004486
37,A1,tile_03,781.0,2,0,0.008045051609704977,0.0
38,A1,tile_03,731.0,4,0,0.017190657475183547,0.0
39,A1,tile_03,1152.0,2,1,0.00545415391248228,0.0
40,A1,tile_03,1362.0,2,0,0.004613205071350651,0.0
41,A1,tile_03,842.0,2,0,0.007462215329191908,0.0
42,A1,tile_03,1055.0,2,0,0.0059556258835825465,0.0
43,A1,tile_03,858.0,0,0,0.0,0.0
44,A1,tile_03,763.0,1,0,0.004117421564337868,0.0
45,A1,tile_03,247.0,0,0,0.0,0.0
46,A1,tile_03,154.0,0,0,0.0,0.0
47,A1,tile_03,737.0,1,0,0.004262676599172039,0.0
1,A1,tile_04,788.0,1,1,0.00398679270760126,0.0
2,A1,tile_04,1056.0,6,6,0.020163841737055703,0.0
3,A1,tile_04,132.0,2,0,0.06611095651493673,0.0
4,A1,tile_04,1011.0,2,1,0.011739108717667101,0.0
5,A1,tile_04,1212.0,7,3,0.02016056891742625,0.007776219459256717
6,A1,tile_04,1826.0,14,6,0.02408669066279141,0.008602389892377571
7,A1,tile_04,1153.0,12,5,0.03269654106077842,0.013623559361215478
8,A1,tile_04,1227.0,3,2,0.007681155632248883,0.005120770563997674
9,A1,tile_04,1878.0,14,3,0.026021948379042186,0.00501851862865769
10,A1,tile_04,1293.0,9,3,0.021867234247724777,0.0048593855236080015
11,A1,tile_04,1347.0,17,3,0.060898645021331486,0.006996865615901366
12,A1,tile_04,1054.0,4,3,0.011922552765046654,0.005961276548410955
13,A1,tile_04,1364.0,21,4,0.06858478585549566,0.009212881938453293
14,A1,tile_04,158.0,1,0,0.019883497807530338,0.0
15,A1,tile_04,752.0,2,0,0.02413753220843222,0.0
16,A1,tile_04,1647.0,4,0,0.007629854653527123,0.0
17,A1,tile_04,1412.0,3,0,0.006674771926890495,0.0
18,A1,tile_04,1257.0,11,7,0.02749205981661712,0.017494946694506856
19,A1,tile_04,1634.0,6,5,0.011535835937294223,0.0019226393763846837
20,A1,tile_04,260.0,2,0,0.0241660973353061,0.0
21,A1,tile_04,1231.0,3,0,0.01417814177087189,0.0
22,A1,tile_04,1427.0,11,7,0.024216902024868762,0.015410755427466796
23,A1,tile_04,1312.0,9,5,0.023412953380411737,0.009578026649428577
24,A1,tile_04,1262.0,4,1,0.00995750444877906,0.0
25,A1,tile_04,1133.0,5,3,0.013864045249734303,0.00831842717089068
26,A1,tile_04,763.0,2,0,0.008234843128675735,0.0
