image_id,tile_id,region_id,area,rad51_count_th0.15,rad51_area_th0.15,rad51_count_th0.2,rad51_area_th0.2,rad51_count_th0.25,rad51_area_th0.25,prob_count_th0.3,prob_area_th0.3,prob_count_th0.365,prob_area_th0.365,prob_count_th0.4,prob_area_th0.4
A1,tile_01,42,990.0,5,0.015866629563584814,3,0.009519977738150888,2,0.006346651825433925,4,0.05288877005528922,2,0.03525918132126933,2,0.03525918132126933
A1,tile_01,43,1033.0,3,0.009123695993000367,3,0.009123695993000367,1,0.003041231997666789,2,0.02061279607073035,1,0.012164928329187119,1,0.012164928329187119
A1,tile_01,44,1121.0,5,0.014012456082024055,1,0.002802491216404811,0,0.0,3,0.037677941845528896,3,0.037677941845528896,1,0.011209965177564936
A1,tile_01,45,577.0,3,0.016334103918144504,1,0.005444701306048168,1,0.005444701306048168,3,0.09074503007753264,2,0.0756208594998206,1,0.06049668892210856
A1,tile_01,46,168.0,4,0.18907733563271903,3,0.17037737936135122,3,0.17037737936135122,2,0.46749891553606304,2,0.46749891553606304,1,0.16829960686819895
A1,tile_02,1,573.0,9,0.13584936237163542,6,0.05239033705811949,0,0.0,3,0.16387211132215995,2,0.1486423618922475,2,0.1486423618922475
A1,tile_02,2,74.0,1,0.042453954778240446,1,0.042453954778240446,0,0.0,1,0.2311382293701172,0,0.0,0,0.0
A1,tile_02,3,1112.0,20,0.10735658348598218,11,0.06843197426884243,5,0.04928357779912046,4,0.09919497263517311,1,0.011300693312994868,0,0.0
A1,tile_02,4,148.0,1,0.08490790955648089,0,0.0,0,0.0,1,0.33963164767703496,1,0.33963164767703496,1,0.33963164767703496
A1,tile_02,5,1334.0,30,0.08870563964408966,23,0.05782875032844782,12,0.03009188365507465,6,0.12219922295932112,3,0.07902390738834685,2,0.04736201159064023
A1,tile_02,6,1418.0,33,0.08320469494697937,22,0.058834089030556404,9,0.02658611554518866,7,0.13465377743052495,3,0.07212715525553155,1,0.024616776803989167
A1,tile_02,7,1036.0,13,0.05626833688862029,9,0.04178008248017315,4,0.012129701365211557,5,0.14858885069151181,1,0.008423404804067723,0,0.0
A1,tile_02,8,412.0,4,0.07794674329295062,1,0.04151511327559326,0,0.0,2,0.13301781774724572,1,0.1025169150343219,1,0.1025169150343219
A1,tile_02,9,1383.0,32,0.10625938034556942,19,0.05729425021008139,14,0.035840456078553115,4,0.0896011429770822,2,0.02852093027022466,1,0.012367482988711983
A1,tile_02,10,1330.0,23,0.09343416747518517,18,0.042517795311741574,11,0.025983097134953174,5,0.1304404007761102,0,0.0,0,0.0
A1,tile_02,11,346.0,4,0.21993166296807154,4,0.21993166296807154,4,0.21993166296807154,2,0.29055192980463107,2,0.29055192980463107,2,0.29055192980463107
A1,tile_02,12,345.0,6,0.12546134912886775,5,0.10927278795094933,4,0.1001667222883702,2,0.29139410931131116,2,0.29139410931131116,2,0.29139410931131116
A1,tile_02,13,1115.0,26,0.09485825351646315,19,0.0751352503100698,7,0.036941498069117645,3,0.13524345090036435,1,0.04508115144053917,0,0.0
A1,tile_02,14,1429.0,23,0.09013666815757983,9,0.05935829366474767,8,0.02418300853008238,8,0.15755597722538708,2,0.04396910830925527,0,0.0
A1,tile_02,15,1438.0,32,0.18739835640328542,29,0.0706384996286996,17,0.04272294135618944,4,0.09539839488574627,1,0.015535617239452038,0,0.0
A1,tile_02,16,1233.0,14,0.0376526829708428,10,0.027460979309562036,5,0.012739629576600945,9,0.1531586782388927,2,0.0319906298164807,1,0.013872042963007845
A1,tile_02,17,1880.0,32,0.06628537691084851,25,0.054587957455992896,15,0.03787735823477057,5,0.11158967525401015,2,0.03137879270188352,1,0.026736959497979346
